NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_1736384		Aureimonas sp. Leaf460	1
ncbi_190810		Australian grapevine viroid	1
ncbi_2364132		Avian HDV-like agent	1
ncbi_12896		Avocado sunblotch viroid	1
ncbi_1907312		Azospirillum sp. RU37A	1
ncbi_1907313		Azospirillum sp. RU38E	1
ncbi_1685931		Azospirillum sp. Sp 7	1
ncbi_652754		Azospirillum sp. TSH20	1
ncbi_652751		Azospirillum sp. TSH7	1
ncbi_1889774		Bacillaceae bacterium	2
ncbi_1637974		Bacilli bacterium VT-13-104	1
ncbi_308892		Bacillus boroniphilus JCM 21738	2
ncbi_79881		Bacillus gibsonii	1
ncbi_1461580		Bacillus jeddahensis	2
ncbi_136160		Bacillus okuhidensis	1
ncbi_290588		Bacillus oshimensis	1
ncbi_444060		Bacillus plakortidis	1
ncbi_1761751		Bacillus sp. 103mf	1
ncbi_1761752		Bacillus sp. 112mf	1
ncbi_977905		Bacillus sp. 17376	1
ncbi_1579346		Bacillus sp. 220_BSPC	1
ncbi_2483358		Bacillus sp. 2A25	1
ncbi_2483359		Bacillus sp. 2A33	1
ncbi_2483357		Bacillus sp. 2D03	1
ncbi_1127743		Bacillus sp. 5B6	1
ncbi_1761757		Bacillus sp. 71mf	1
ncbi_2021692		Bacillus sp. 7788	1
ncbi_1590027		Bacillus sp. A053	1
ncbi_2033485		Bacillus sp. AFS012607	1
ncbi_2034278		Bacillus sp. AFS014408	1
ncbi_2184001		Bacillus sp. AG102	1
ncbi_1737633		Bacillus sp. AK8	1
ncbi_1938894		Bacillus sp. AtDRG31	1
ncbi_1476857		Bacillus sp. B-jedd	1
ncbi_1570330		Bacillus sp. BH072	1
ncbi_2060113		Bacillus sp. BI3	1
ncbi_665958		Bacillus sp. BT1B_CT2	1
ncbi_1856563		Bacillus sp. CBA7126	1
ncbi_2108546		Bacillus sp. CJCL2	1
ncbi_1761759		Bacillus sp. cl115	1
ncbi_1761760		Bacillus sp. cl25	1
ncbi_1761761		Bacillus sp. cl95	1
ncbi_1761762		Bacillus sp. cl96	1
ncbi_1385719		Bacillus sp. CMAA 1185	1
ncbi_1843182		Bacillus sp. CMAA 1363	1
