NCBItaxID	Species	Taxonomy
ncbi_1173691	Citrobacter sp. A1	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. A1
ncbi_2529121	Citrobacter sp. ABFQG	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. ABFQG
ncbi_1696093	Citrobacter sp. CtB7.12	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. CtB7.12
ncbi_1169350	Citrobacter sp. KTE32	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. KTE32
ncbi_1212820	Citrobacter sp. L17	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. L17
ncbi_1686378	Citrobacter sp. MGH103	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. MGH103
ncbi_1686379	Citrobacter sp. MGH104	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. MGH104
ncbi_1686380	Citrobacter sp. MGH105	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. MGH105
ncbi_1686376	Citrobacter sp. MGH99	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. MGH99
ncbi_72174	Citromicrobium bathyomarinum JL354	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium bathyomarinum JL354
ncbi_1629596	Citromicrobium sp. JL1351	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. JL1351
ncbi_1628321	Citromicrobium sp. JL31	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. JL31
ncbi_1634516	Citromicrobium sp. JL477	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. JL477
