	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Actinomycetales	|f__	Actinomycetaceae	|g__	Actinomyces	|s__	Actinomyces sp. oral taxon 448	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 448
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Adoxophyes honmai entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Adoxophyes honmai entomopoxvirus	Adoxophyes honmai entomopoxvirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Adoxophyes honmai entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Adoxophyes honmai entomopoxvirus	Adoxophyes honmai entomopoxvirus
d__	Viruses							|f__	Baculoviridae	|g__	Betabaculovirus	|s__	Adoxophyes orana granulovirus	d__Viruses|f__Baculoviridae|g__Betabaculovirus|s__Adoxophyes orana granulovirus	Adoxophyes orana granulovirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Adoxophyes orana nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Adoxophyes orana nucleopolyhedrovirus	Adoxophyes orana nucleopolyhedrovirus
d__	Viruses							|f__	Reoviridae	|g__	Dinovernavirus	|s__	Aedes pseudoscutellaris reovirus	d__Viruses|f__Reoviridae|g__Dinovernavirus|s__Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Tulanevirus	|s__	Aeromonas virus Aes508	d__Viruses|o__Caudovirales|f__Myoviridae|g__Tulanevirus|s__Aeromonas virus Aes508	Aeromonas virus Aes508
d__	Viruses					|o__	Ortervirales	|f__	Retroviridae	|g__	Spumavirus	|s__	African green monkey simian foamy virus	d__Viruses|o__Ortervirales|f__Retroviridae|g__Spumavirus|s__African green monkey simian foamy virus	African green monkey simian foamy virus
d__	Viruses							|f__	Asfarviridae	|g__	Asfivirus	|s__	African swine fever virus	d__Viruses|f__Asfarviridae|g__Asfivirus|s__African swine fever virus	African swine fever virus
d__	Eukaryota	|p__	Basidiomycota	|c__	Agaricomycetes									d__Eukaryota|p__Basidiomycota|c__Agaricomycetes	Agaricomycetes
d__	Eukaryota	|p__	Basidiomycota	|c__	Agaricomycetes									d__Eukaryota|p__Basidiomycota|c__Agaricomycetes	Agaricomycetes
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rhizobiales	|f__	Rhizobiaceae	|g__	Agrobacterium	|s__	Agrobacterium tumefaciens	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium tumefaciens	Agrobacterium tumefaciens
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rhizobiales	|f__	Rhizobiaceae	|g__	Agrobacterium	|s__	Agrobacterium tumefaciens	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium tumefaciens	Agrobacterium tumefaciens
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Polybotosvirus	|s__	Agrobacterium virus Atuph07	d__Viruses|o__Caudovirales|f__Myoviridae|g__Polybotosvirus|s__Agrobacterium virus Atuph07	Agrobacterium virus Atuph07
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Agrotis ipsilon multiple nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Agrotis ipsilon multiple nucleopolyhedrovirus	Agrotis ipsilon multiple nucleopolyhedrovirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Agrotis segetum nucleopolyhedrovirus A	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Agrotis segetum nucleopolyhedrovirus A	Agrotis segetum nucleopolyhedrovirus A
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Agrotis segetum nucleopolyhedrovirus B	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Agrotis segetum nucleopolyhedrovirus B	Agrotis segetum nucleopolyhedrovirus B
