	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Viruses							|f__	Poxviridae			|s__	Melanoplus sanguinipes entomopoxvirus	d__Viruses|f__Poxviridae|s__Melanoplus sanguinipes entomopoxvirus	Melanoplus sanguinipes entomopoxvirus
d__	Viruses							|f__	Tombusviridae	|g__	Gammacarmovirus	|s__	Melon necrotic spot virus	d__Viruses|f__Tombusviridae|g__Gammacarmovirus|s__Melon necrotic spot virus	Melon necrotic spot virus
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae			|s__	Menghai rhabdovirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|s__Menghai rhabdovirus	Menghai rhabdovirus
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae					d__Viruses|o__Nidovirales|f__Mesoniviridae	Mesoniviridae
d__	Archaea	|p__	Euryarchaeota	|c__	Methanomicrobia	|o__	Methanosarcinales	|f__	Methanosarcinaceae	|g__	Methanosarcina	|s__	Methanosarcina sp. 2.H.T.1A.15	d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina sp. 2.H.T.1A.15	Methanosarcina sp. 2.H.T.1A.15
d__	Bacteria	|p__	Proteobacteria	|c__	Betaproteobacteria	|o__	Nitrosomonadales	|f__	Methylophilaceae	|g__	Methylovorus	|s__	Methylovorus glucosotrophus	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylovorus|s__Methylovorus glucosotrophus	Methylovorus glucosotrophus
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Micrococcales	|f__	Microbacteriaceae					d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	Microbacteriaceae
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Micrococcales	|f__	Microbacteriaceae					d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	Microbacteriaceae
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Micrococcales	|f__	Microbacteriaceae	|g__	Microbacterium	|s__	Microbacterium sp. str. 'China'	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium sp. str. 'China'	Microbacterium sp. str. 'China'
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Ilzatvirus	|s__	Microbacterium virus Hamlet	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Ilzatvirus|s__Microbacterium virus Hamlet	Microbacterium virus Hamlet
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Ilzatvirus	|s__	Microbacterium virus Ilzat	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Ilzatvirus|s__Microbacterium virus Ilzat	Microbacterium virus Ilzat
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Minunavirus	|s__	Microbacterium virus Min1	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Minunavirus|s__Microbacterium virus Min1	Microbacterium virus Min1
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Pikminvirus	|s__	Microbacterium virus Pikmin	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Pikminvirus|s__Microbacterium virus Pikmin	Microbacterium virus Pikmin
d__	Viruses							|f__	Reoviridae	|g__	Mimoreovirus	|s__	Micromonas pusilla reovirus	d__Viruses|f__Reoviridae|g__Mimoreovirus|s__Micromonas pusilla reovirus	Micromonas pusilla reovirus
d__	Viruses							|f__	Polydnaviridae	|g__	Bracovirus	|s__	Microplitis demolitor bracovirus	d__Viruses|f__Polydnaviridae|g__Bracovirus|s__Microplitis demolitor bracovirus	Microplitis demolitor bracovirus
d__	Eukaryota	|p__	Microsporidia											d__Eukaryota|p__Microsporidia	Microsporidia
d__	Eukaryota	|p__	Microsporidia											d__Eukaryota|p__Microsporidia	Microsporidia
d__	Eukaryota	|p__	Microsporidia											d__Eukaryota|p__Microsporidia	Microsporidia
d__	Eukaryota	|p__	Basidiomycota	|c__	Exobasidiomycetes	|o__	Microstromatales							d__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Microstromatales	Microstromatales
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rhizobiales	|f__	Methylobacteriaceae	|g__	Microvirga	|s__	Microvirga sp. 17 mud 1-3	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Microvirga|s__Microvirga sp. 17 mud 1-3	Microvirga sp. 17 mud 1-3
d__	Viruses							|f__	Microviridae					d__Viruses|f__Microviridae	Microviridae
d__	Viruses							|f__	Microviridae					d__Viruses|f__Microviridae	Microviridae
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma	|s__	Milkweed yellows phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__Milkweed yellows phytoplasma	Milkweed yellows phytoplasma
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma	|s__	Milkweed yellows phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__Milkweed yellows phytoplasma	Milkweed yellows phytoplasma
d__	Viruses							|f__	Reoviridae	|g__	Mimoreovirus			d__Viruses|f__Reoviridae|g__Mimoreovirus	Mimoreovirus
d__	Viruses							|f__	Baculoviridae	|g__	Betabaculovirus	|s__	Mocis latipes granulovirus	d__Viruses|f__Baculoviridae|g__Betabaculovirus|s__Mocis latipes granulovirus	Mocis latipes granulovirus
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Paramyxoviridae	|g__	Henipavirus	|s__	Mojiang henipavirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Henipavirus|s__Mojiang henipavirus	Mojiang henipavirus
d__	Viruses							|f__	Poxviridae	|g__	Molluscipoxvirus	|s__	Molluscum contagiosum virus	d__Viruses|f__Poxviridae|g__Molluscipoxvirus|s__Molluscum contagiosum virus	Molluscum contagiosum virus
d__	Viruses							|f__	Poxviridae	|g__	Molluscipoxvirus	|s__	Molluscum contagiosum virus	d__Viruses|f__Poxviridae|g__Molluscipoxvirus|s__Molluscum contagiosum virus	Molluscum contagiosum virus
d__	Viruses					|o__	Nidovirales	|f__	Mononiviridae					d__Viruses|o__Nidovirales|f__Mononiviridae	Mononiviridae
d__	Viruses					|o__	Picornavirales	|f__	Picornaviridae	|g__	Mosavirus	|s__	Mosavirus A	d__Viruses|o__Picornavirales|f__Picornaviridae|g__Mosavirus|s__Mosavirus A	Mosavirus A
d__	Viruses							|f__	Togaviridae	|g__	Alphavirus	|s__	Mosso das Pedras virus	d__Viruses|f__Togaviridae|g__Alphavirus|s__Mosso das Pedras virus	Mosso das Pedras virus
d__	Viruses							|f__	Mimiviridae			|s__	Moumouvirus	d__Viruses|f__Mimiviridae|s__Moumouvirus	Moumouvirus
d__	Viruses					|o__	Ortervirales	|f__	Retroviridae	|g__	Betaretrovirus	|s__	Mouse mammary tumor virus	d__Viruses|o__Ortervirales|f__Retroviridae|g__Betaretrovirus|s__Mouse mammary tumor virus	Mouse mammary tumor virus
d__	Eukaryota	|p__	Mucoromycota	|c__	Mucoromycetes	|o__	Mucorales							d__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	Mucorales
d__	Eukaryota	|p__	Mucoromycota											d__Eukaryota|p__Mucoromycota	Mucoromycota
d__	Eukaryota	|p__	Mucoromycota											d__Eukaryota|p__Mucoromycota	Mucoromycota
d__	Eukaryota	|p__	Mucoromycota											d__Eukaryota|p__Mucoromycota	Mucoromycota
d__	Viruses							|f__	Poxviridae	|g__	Cervidpoxvirus	|s__	Mule deerpox virus	d__Viruses|f__Poxviridae|g__Cervidpoxvirus|s__Mule deerpox virus	Mule deerpox virus
d__	Viruses							|f__	Poxviridae	|g__	Cervidpoxvirus	|s__	Mule deerpox virus	d__Viruses|f__Poxviridae|g__Cervidpoxvirus|s__Mule deerpox virus	Mule deerpox virus
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Muromegalovirus	|s__	Murid betaherpesvirus 1	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Muromegalovirus|s__Murid betaherpesvirus 1	Murid betaherpesvirus 1
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Muromegalovirus	|s__	Murid betaherpesvirus 2	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Muromegalovirus|s__Murid betaherpesvirus 2	Murid betaherpesvirus 2
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Muromegalovirus	|s__	Murid betaherpesvirus 2	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Muromegalovirus|s__Murid betaherpesvirus 2	Murid betaherpesvirus 2
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Rhadinovirus	|s__	Murid gammaherpesvirus 4	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Rhadinovirus|s__Murid gammaherpesvirus 4	Murid gammaherpesvirus 4
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Corynebacteriales	|f__	Mycobacteriaceae	|g__	Mycobacterium	|s__	Mycobacterium sp. UM_3	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. UM_3	Mycobacterium sp. UM_3
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Acadianvirus	|s__	Mycobacterium virus Baee	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Acadianvirus|s__Mycobacterium virus Baee	Mycobacterium virus Baee
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Bernalvirus	|s__	Mycobacterium virus Bernal13	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Bernalvirus|s__Mycobacterium virus Bernal13	Mycobacterium virus Bernal13
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus BrownCNA	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus BrownCNA	Mycobacterium virus BrownCNA
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Bixzunavirus	|s__	Mycobacterium virus Bxz1	d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus|s__Mycobacterium virus Bxz1	Mycobacterium virus Bxz1
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Bixzunavirus	|s__	Mycobacterium virus Bxz1	d__Viruses|o__Caudovirales|f__Myoviridae|g__Bixzunavirus|s__Mycobacterium virus Bxz1	Mycobacterium virus Bxz1
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus Chrisnmich	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Chrisnmich	Mycobacterium virus Chrisnmich
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Mapvirus	|s__	Mycobacterium virus Ff47	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Mapvirus|s__Mycobacterium virus Ff47	Mycobacterium virus Ff47
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus JAMaL	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus JAMaL	Mycobacterium virus JAMaL
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus Nigel	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Nigel	Mycobacterium virus Nigel
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Barnyardvirus	|s__	Mycobacterium virus Predator	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Barnyardvirus|s__Mycobacterium virus Predator	Mycobacterium virus Predator
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Rosebushvirus	|s__	Mycobacterium virus Rosebush	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Rosebushvirus|s__Mycobacterium virus Rosebush	Mycobacterium virus Rosebush
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus Stinger	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Stinger	Mycobacterium virus Stinger
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Fromanvirus	|s__	Mycobacterium virus Switzer	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Switzer	Mycobacterium virus Switzer
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Fromanvirus	|s__	Mycobacterium virus Timshel	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Timshel	Mycobacterium virus Timshel
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Fromanvirus	|s__	Mycobacterium virus Trixie	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Fromanvirus|s__Mycobacterium virus Trixie	Mycobacterium virus Trixie
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus Vincenzo	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Vincenzo	Mycobacterium virus Vincenzo
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Wildcatvirus	|s__	Mycobacterium virus Wildcat	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Wildcatvirus|s__Mycobacterium virus Wildcat	Mycobacterium virus Wildcat
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Coopervirus	|s__	Mycobacterium virus Zemanar	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Coopervirus|s__Mycobacterium virus Zemanar	Mycobacterium virus Zemanar
d__	Viruses					|o__	Nidovirales	|f__	Coronaviridae	|g__	Alphacoronavirus	|s__	Myotis ricketti alphacoronavirus Sax-2011	d__Viruses|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Myotis ricketti alphacoronavirus Sax-2011	Myotis ricketti alphacoronavirus Sax-2011
d__	Viruses					|o__	Nidovirales	|f__	Coronaviridae	|g__	Alphacoronavirus	|s__	Myotis ricketti alphacoronavirus Sax-2011	d__Viruses|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Myotis ricketti alphacoronavirus Sax-2011	Myotis ricketti alphacoronavirus Sax-2011
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae					d__Viruses|o__Caudovirales|f__Myoviridae	Myoviridae
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Mythimna separata entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Mythimna separata entomopoxvirus	Mythimna separata entomopoxvirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Mythimna separata entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Mythimna separata entomopoxvirus	Mythimna separata entomopoxvirus
d__	Viruses							|f__	Baculoviridae	|g__	Betabaculovirus	|s__	Mythimna unipuncta granulovirus B	d__Viruses|f__Baculoviridae|g__Betabaculovirus|s__Mythimna unipuncta granulovirus B	Mythimna unipuncta granulovirus B
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Mythimna unipuncta nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Mythimna unipuncta nucleopolyhedrovirus	Mythimna unipuncta nucleopolyhedrovirus
d__	Bacteria	|p__	Proteobacteria	|c__	Deltaproteobacteria	|o__	Myxococcales							d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	Myxococcales
d__	Bacteria	|p__	Proteobacteria	|c__	Deltaproteobacteria	|o__	Myxococcales							d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	Myxococcales
d__	Bacteria	|p__	Proteobacteria	|c__	Deltaproteobacteria	|o__	Myxococcales							d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	Myxococcales
d__	Bacteria	|p__	Proteobacteria	|c__	Deltaproteobacteria	|o__	Myxococcales							d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	Myxococcales
d__	Viruses					|o__	Caudovirales	|f__	Podoviridae	|g__	Myxoctovirus	|s__	Myxococcus virus Mx8	d__Viruses|o__Caudovirales|f__Podoviridae|g__Myxoctovirus|s__Myxococcus virus Mx8	Myxococcus virus Mx8
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Nairoviridae	|g__	Orthonairovirus	|s__	Nairobi sheep disease orthonairovirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Nairoviridae|g__Orthonairovirus|s__Nairobi sheep disease orthonairovirus	Nairobi sheep disease orthonairovirus
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Nairoviridae	|g__	Orthonairovirus	|s__	Nairobi sheep disease orthonairovirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Nairoviridae|g__Orthonairovirus|s__Nairobi sheep disease orthonairovirus	Nairobi sheep disease orthonairovirus
d__	Eukaryota	|p__	Ascomycota	|c__	Saccharomycetes	|o__	Saccharomycetales	|f__	Saccharomycetaceae	|g__	Nakaseomyces			d__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces	Nakaseomyces
d__	Viruses	|p__	Negarnaviricota											d__Viruses|p__Negarnaviricota	Negarnaviricota
d__	Viruses	|p__	Negarnaviricota											d__Viruses|p__Negarnaviricota	Negarnaviricota
d__	Viruses							|f__	Baculoviridae	|g__	Gammabaculovirus	|s__	Neodiprion lecontei nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Gammabaculovirus|s__Neodiprion lecontei nucleopolyhedrovirus	Neodiprion lecontei nucleopolyhedrovirus
d__	Viruses					|o__	Nidovirales							d__Viruses|o__Nidovirales	Nidovirales
d__	Viruses					|o__	Nidovirales							d__Viruses|o__Nidovirales	Nidovirales
d__	Viruses					|o__	Nidovirales							d__Viruses|o__Nidovirales	Nidovirales
d__	Viruses					|o__	Nidovirales							d__Viruses|o__Nidovirales	Nidovirales
d__	Viruses					|o__	Nidovirales							d__Viruses|o__Nidovirales	Nidovirales
d__	Viruses					|o__	Picornavirales	|f__	Iflaviridae			|s__	Nilaparvata lugens honeydew virus-2	d__Viruses|o__Picornavirales|f__Iflaviridae|s__Nilaparvata lugens honeydew virus-2	Nilaparvata lugens honeydew virus-2
d__	Viruses							|f__	Reoviridae	|g__	Fijivirus	|s__	Nilaparvata lugens reovirus	d__Viruses|f__Reoviridae|g__Fijivirus|s__Nilaparvata lugens reovirus	Nilaparvata lugens reovirus
d__	Viruses							|f__	Poxviridae	|g__	Crocodylidpoxvirus	|s__	Nile crocodilepox virus	d__Viruses|f__Poxviridae|g__Crocodylidpoxvirus|s__Nile crocodilepox virus	Nile crocodilepox virus
d__	Bacteria	|p__	Proteobacteria	|c__	Betaproteobacteria	|o__	Nitrosomonadales							d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	Nitrosomonadales
d__	Bacteria	|p__	Nitrospirae	|c__	Nitrospira	|o__	Nitrospirales	|f__	Nitrospiraceae	|g__	Nitrospira	|s__	Nitrospira cf. moscoviensis SBR1015	d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira cf. moscoviensis SBR1015	Nitrospira cf. moscoviensis SBR1015
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Corynebacteriales	|f__	Nocardiaceae	|g__	Nocardia	|s__	Nocardia panacis	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia|s__Nocardia panacis	Nocardia panacis
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Propionibacteriales	|f__	Nocardioidaceae	|g__	Nocardioides	|s__	Nocardioides silvaticus	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides silvaticus	Nocardioides silvaticus
d__	Viruses							|f__	Flaviviridae	|g__	Pegivirus	|s__	Norway rat pegivirus	d__Viruses|f__Flaviviridae|g__Pegivirus|s__Norway rat pegivirus	Norway rat pegivirus
d__	Bacteria	|p__	Firmicutes	|c__	Bacilli	|o__	Bacillales	|f__	Staphylococcaceae	|g__	Nosocomiicoccus	|s__	Nosocomiicoccus ampullae	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Nosocomiicoccus|s__Nosocomiicoccus ampullae	Nosocomiicoccus ampullae
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Nostocaceae	|g__	Nostoc	|s__	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Nostocaceae	|g__	Nostoc	|s__	Nostoc sp. 'Peltigera membranacea cyanobiont' 210A	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc sp. 'Peltigera membranacea cyanobiont' 210A	Nostoc sp. 'Peltigera membranacea cyanobiont' 210A
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Nostocaceae	|g__	Nostoc	|s__	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc sp. 'Peltigera membranacea cyanobiont' 213	Nostoc sp. 'Peltigera membranacea cyanobiont' 213
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Nostocaceae	|g__	Nostoc	|s__	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc sp. 'Peltigera membranacea cyanobiont' 232	Nostoc sp. 'Peltigera membranacea cyanobiont' 232
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Nostocaceae	|g__	Nostoc	|s__	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc sp. 'Peltigera membranacea cyanobiont' N6	Nostoc sp. 'Peltigera membranacea cyanobiont' N6
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales					|s__	Nostocales cyanobacterium HT-58-2	d__Bacteria|p__Cyanobacteria|o__Nostocales|s__Nostocales cyanobacterium HT-58-2	Nostocales cyanobacterium HT-58-2
d__	Viruses							|f__	Potyviridae	|g__	Bymovirus	|s__	Oat mosaic virus	d__Viruses|f__Potyviridae|g__Bymovirus|s__Oat mosaic virus	Oat mosaic virus
d__	Viruses					|o__	Nidovirales	|f__	Roniviridae	|g__	Okavirus			d__Viruses|o__Nidovirales|f__Roniviridae|g__Okavirus	Okavirus
d__	Viruses							|f__	Geminiviridae	|g__	Begomovirus	|s__	Okra yellow vein mosaic virus	d__Viruses|f__Geminiviridae|g__Begomovirus|s__Okra yellow vein mosaic virus	Okra yellow vein mosaic virus
d__	Bacteria	|p__	Spirochaetes	|c__	Spirochaetia	|o__	Spirochaetales					|s__	Olavius algarvensis spirochete endosymbiont	d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|s__Olavius algarvensis spirochete endosymbiont	Olavius algarvensis spirochete endosymbiont
d__	Viruses							|f__	Phycodnaviridae	|g__	Chlorovirus	|s__	Only Syngen Nebraska virus 5	d__Viruses|f__Phycodnaviridae|g__Chlorovirus|s__Only Syngen Nebraska virus 5	Only Syngen Nebraska virus 5
d__	Eukaryota	|p__	Ascomycota	|c__	Eurotiomycetes	|o__	Onygenales							d__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	Onygenales
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Operophtera brumata nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Operophtera brumata nucleopolyhedrovirus	Operophtera brumata nucleopolyhedrovirus
d__	Viruses							|f__	Virgaviridae	|g__	Tobamovirus	|s__	Opuntia virus 2	d__Viruses|f__Virgaviridae|g__Tobamovirus|s__Opuntia virus 2	Opuntia virus 2
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Hapavirus	|s__	Ord River hapavirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Hapavirus|s__Ord River hapavirus	Ord River hapavirus
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Hapavirus	|s__	Ord River hapavirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Hapavirus|s__Ord River hapavirus	Ord River hapavirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Orgyia pseudotsugata multiple nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Orgyia pseudotsugata multiple nucleopolyhedrovirus	Orgyia pseudotsugata multiple nucleopolyhedrovirus
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Hantaviridae	|g__	Orthohantavirus			d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Hantaviridae|g__Orthohantavirus	Orthohantavirus
