featureid	Intercept	C(Market_economy, Treatment('Farming'))[T.Forrest camp]	C(Market_economy, Treatment('Farming'))[T.Industrial]	C(Market_economy, Treatment('Farming'))[T.Logging road]
Desulfovibrio	-2.648105771292614	-0.565088985051629	2.0790097835603416	-0.42454952840940674
Campylobacter	2.0567450811968584	0.4006453701000243	0.6971102181020443	0.06620483751161377
Cardiobacterium	2.0004448434220095	-0.21000168242644968	1.1614888432565396	0.09096669311387817
Aggregatibacter	2.1732306768999834	0.622641737077716	1.7613864067140286	-0.1548284972204419
Haemophilus	1.3635990908251543	-0.9803137532730073	2.2571166875901882	-0.41721627955572327
Treponema	2.1300117364035387	0.8016065903644587	0.7082119706216519	0.1858673011766223
Actinobaculum	2.1035720547543306	0.32949602088737784	0.2780126157346432	0.1608763253198413
Actinomyces	4.845750897179677	0.14256929836082755	0.7330244901719754	0.12371300811631958
Schaalia	1.6860621562109728	-0.1655239812393159	1.1620016220155422	-0.2976241195692273
Corynebacterium	4.726697294961049	0.07015722474861441	0.08306695252091334	-0.007086583424970705
Mycobacterium	-0.8734585354222517	0.3510146089534789	-1.8142613050398166	-0.2666957164301129
Cellulomonas	-1.428177268256115	-0.027774756338117434	-0.3350794789251621	0.14927839393480102
Kytococcus	-1.0755263874425154	-0.12434492030334177	0.03728751569420741	0.04003070945604126
Rothia	2.325965373765065	-0.4219401157755822	2.038992059523171	0.3414595639215259
Xylanimonas	-1.814994961966442	0.026243562314989255	1.230340910250253	0.001478007982805174
Sanguibacter	-1.9541565487279167	0.4337853141765624	0.8538940373006527	0.30879931802614013
Acidipropionibacterium	-4.0351239750279655	-1.3891045502681711	-1.5157363292631443	0.14484231824739258
Propionibacterium	2.9032028606043596	-1.5455070189495057	-3.91137801379531	0.21114771718843262
Pseudopropionibacterium	3.9318278720484514	0.18484985313225089	-0.29223732919066503	-0.13793379907743653
Tessaracoccus	-2.008161456335949	0.058787698362353424	-0.21896837920516088	0.30721359605653564
Atopobium	-1.4264983246220817	0.8362087555866267	0.7639001432004635	0.6930195605264449
Olsenella	2.1041385074959535	0.7156173535327941	0.9957801821771328	0.538749030779436
Collinsella	-4.493932873953747	1.1964741297702814	1.2706677439752285	0.49002044553621094
Cryptobacterium	-4.319746167410778	2.8347148247699763	-6.865087616151267	1.9219161784158492
Gordonibacter	-5.3614155361546745	2.45169966897774	0.9178664806428616	1.5744365965829639
Slackia	-1.986740977515148	0.41299980363655386	1.68527520924241	-0.07786066179411133
Gemella	0.4221356799708147	0.16699385127830801	0.7928658547940914	-0.21306873207227905
Abiotrophia	1.5967292180166979	-0.18164125600051584	0.8031031313481991	-0.2189672375215741
Granulicatella	0.6361844232188005	-0.4917125902433366	0.9605062130037014	-0.4931938434137555
Streptococcus	3.696873634110524	0.09990101537514029	1.229059171969003	0.04862021560533325
Clostridium	-1.7484749863042106	0.36869561157036035	-0.6150412437376316	0.2345043336854724
Mogibacterium	-1.1972233364476423	0.7950141974430114	0.32563635438115046	0.5326568400369434
Eubacterium	-0.3778792927159529	0.6282603093128234	0.8831192377153103	0.15207236165864746
Pseudoramibacter	-0.6486066887273054	-1.7339628390331239	1.7731826427522366	-1.7254632199300977
Catonella	-0.576821238745616	0.654252106760028	0.7652630034032528	0.3567446982370166
Coprococcus	-3.614154011954235	-0.4921182259280652	-7.520249473756247	-0.049936124135419924
Johnsonella	0.24205049778087329	0.3465753146152517	-0.5901920673307712	-0.41368762498037537
Lachnoanaerobaculum	1.6142875840769548	0.12650685987282095	-1.4463888284620579	0.06613593454225342
Lachnoclostridium	-3.982982308615612	-0.39352790036391916	-7.176437484925681	0.6499814307199263
Oribacterium	1.3084911992655535	-1.0969224623699159	-1.608092415040427	-1.3299743617071362
Shuttleworthia	-3.4934889385594596	-0.9284971705932588	-1.1920457956251438	0.9024478709207324
Stomatobaculum	0.22302779461009692	-0.6608525119085282	-1.8910237428602512	-0.21394599323408325
Filifactor	-0.963171393622325	0.8651001997928645	0.6058704379144375	0.1396540319429187
Peptoanaerobacter	-0.47039070819752027	0.3479531355838805	0.28489948540360377	-0.04797370081083496
Peptostreptococcus	-3.1378809521092643	0.730562502954486	-1.347206937974387	0.3179094111429004
Eggerthia	-2.295273930777477	0.9218756504993464	0.3550345721784298	0.7937160050378584
Solobacterium	-1.283803136099742	0.5866133519153625	-0.7569281932768162	0.342208675097063
Centipeda	-0.15295973514454175	0.8827800103168513	-0.4206263300833042	0.3856659447656421
Mitsuokella	0.18118187690837573	-2.0950028351802796	-3.3880244371351536	0.2699917470918445
Selenomonas	2.5159125020609636	0.4123120852451354	-0.10407905549376562	0.3737112795816211
Anaeroglobus	-0.36110678409473707	0.9428884335498835	-0.25878392428725316	0.26832186336381714
Dialister	-0.42014137004749585	0.626789743516925	1.1770974519792263	0.3806883608804492
Megasphaera	-2.3484074184788932	-1.1099590710658997	-0.3130299922880466	0.16433393115861694
Veillonella	1.7421003868685503	-0.14129755416106882	1.0621490600648587	0.5662383353219775
Parvimonas	-0.7875467846287947	0.347133273694995	0.8555441918912594	0.09571104402406494
Peptoniphilus	-3.1447226116551628	0.7205932684879333	-0.46915905446379735	-0.02639950161115845
Candidatus Methanomethylophilus	-3.7282296726597997	0.4765903302173644	0.07998244195610926	0.45804040784700195
Methanobrevibacter	-0.7775506088628035	-0.3209252558011979	1.3290788653436363	1.0512925898538374
