SRS051930	10330958	27568659	177544
SRS052874	3827038	10396711	12790
SRS056892	5003019	10805524	27955
SRS058105	5352810	9455324	14995
SRS063215	4147210	13117624	103777
VLC001.A0101	8439499	25856757	21645
VLC002.A0101	2266685	13423280	3492
VLC003.A0101	4960279	21042229	7576
VLC004.A0101	8041005	35097401	38536
VLC005.A0101	7777860	36203761	8647
VLC008.A0101	9963881	25689264	4703
VLC009.A0101	8436085	24993201	123240
VLC010.A0101	3454630	15528438	64800
SRR061192	12637100	9284258	242932
SRR061294	5423461	4954843	149251
SRR061320	11872136	11660683	70447
SRR061365	15374252	11537064	182239
SRR061562	16533910	16429644	201414
SRR062083	16457412	17322033	54614
SRR062298	6218393	7754100	75972
SRR062299	2859663	3833493	17121
SRR063517	13523907	12444670	224208
SRR1804664	15810699	11738930	431215
SRR1804823	11404725	7900621	66224
SRR512767	40117228	26451211	860907
SRR513165	7552200	6797337	76469
SRR513768	16127633	11736099	367745
SRR513775	14532634	9610698	241298
SRR513828	22659171	23744868	1281998
SRR514202	6226895	5524224	26038
SRR514239	8424230	8217676	104427
SRR514306	24430686	13494053	628875
SRR514329	14371375	13782404	53232
