Species	CMC001.A0101.SG1.unmapped	CMC001.A0201.SG1.unmapped	CMC001.B0201.SG1.unmapped	CMC002.A0201.SG1.unmapped	CMC002.B0201.SG1.unmapped	CMC003.A0201.SG1.unmapped	CMC003.B0101.SG1.unmapped	CMC004.A0101.SG1.unmapped	CMC004.B0201.SG1.unmapped	CMC005.A0202.SG1.unmapped	CMC005.B0101.SG1.unmapped	CMC006.A0101.SG1.unmapped	CMC006.B0201.SG1.unmapped	CMC007.B0101.SG1.unmapped	CMC008.A0101.SG1.unmapped	CMC008.B0201.SG1.unmapped	CMC009.A0202.SG1.unmapped	CMC009.B0101.SG1.unmapped	CMC010.A0101.SG1.unmapped	CMC010.B0201.SG1.unmapped	CMC011.A0201.SG1.unmapped	CMC011.B0101.SG1.unmapped	CMC012.A0201.SG1.unmapped	CMC012.B0201.SG1.unmapped	CMC013.A0201.SG1.unmapped	CMC013.B0101.SG1.unmapped	CMC014.A0101.SG1.unmapped	CMC015.A0201.SG1.unmapped	CMC015.B0201.SG1.unmapped	CMC016.A0101.SG1.unmapped	CMC016.B0101.SG1.unmapped	CMC017.A0201.SG1.unmapped	CMC017.B0201.SG1.unmapped	CMC018.A0101.SG1.unmapped	CMC018.B0101.SG1.unmapped	CMC020.A0101.SG1.unmapped	CMC020.B0101.SG1.unmapped	CMC021.A0201.SG1.unmapped	CMC021.B0201.SG1.unmapped	CMC022.A0101.SG1.unmapped	CMC022.B0101.SG1.unmapped	CMC023.A0301.SG1.unmapped	CMC023.B0201.SG1.unmapped	CMC024.A0101.SG1.unmapped	CMC024.B0101.SG1.unmapped	CMC025.A0201.SG1.unmapped	CMC025.B0201.SG1.unmapped	CMC026.A0101.SG1.unmapped	CMC026.B0101.SG1.unmapped	CMC027.A0201.SG1.unmapped	CMC027.B0201.SG1.unmapped	CMC028.A0101.SG1.unmapped	CMC028.B0101.SG1.unmapped	CMC029.A0201.SG1.unmapped	CMC029.B0201.SG1.unmapped	CMC030.A0101.SG1.unmapped	CMC030.B0101.SG1.unmapped	CMC031.A0201.SG1.unmapped	CMC031.B0201.SG1.unmapped	CMC032.A0101.SG1.unmapped	CMC032.B0101.SG1.unmapped	CMC033.A0201.SG1.unmapped	CMC033.B0201.SG1.unmapped	CMC034.A0101.SG1.unmapped	CMC034.B0101.SG1.unmapped	CMC035.A0201.SG1.unmapped	CMC035.B0201.SG1.unmapped	CMC036.A0101.SG1.unmapped	CMC036.B0101.SG1.unmapped	CMC037.A0201.SG1.unmapped	CMC037.B0201.SG1.unmapped	CMC038.A0101.SG1.unmapped	CMC038.B0101.SG1.unmapped	CMC039.B0201.SG1.unmapped	CMC040.B0101.SG1.unmapped	CMC041.A0201.SG1.unmapped	CMC042.A0201.SG1.unmapped	CMC042.B0101.SG1.unmapped	CMC043.A0101.SG1.unmapped	CMC043.B0101.SG1.unmapped	CMC044.A0201.SG1.unmapped	CMC045.A0201.SG1.unmapped	CMC045.B0201.SG1.unmapped	CMC046.B0201.SG1.unmapped-1	CMC047.A0201.SG1.unmapped	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE016.A0101.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped
Alcanivorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8824	0	1801	1101	5276	895	0	2988	0	325	0	0	1035	0	748	0	0	488	1020	0	0	98615	0	0	0	0	0	0	0	0	0	0	2115	1736	7851	3107	0	445	0	0	2424	1009	1111	1452	0	0	3635	3078	0	3222	1747	0	0
Aggregatibacter	177267	198948	103226	10916	1548	122708	190974	118468	47720	191363	0	184755	85134	63608	15048	209155	52956	110014	67103	25245	178849	259963	7884	26182	64384	9019	0	25150	0	29212	7809	66680	74284	130817	123115	18417	33549	43752	17206	2106849	265124	102288	16455	99245	64815	5516	9794	30097	3287	11622	125287	326683	723206	80921	54517	72585	4356	1184732	26523	879	0	233737	13291	28750	30018	216804	4293	109470	29731	42347	0	207636	273789	80238	388116	70582	171014	8575	2719	2603	22589	42112	139329	61492	2813	147272	236519	409906	99681	310375	214543	109877	289030	23650	14139	23248	168381	51250	10081	40490	189507	139108	53285	87923	32915	194238	410791	239851	261651	9280901	11191520	377800	170634	83108	65522	40062	16059	22389	130485	27942	167043	200718	33712	6434	8685	86929	54616	62614	57642	52725	72137	74259	43155	52569	63907	42333	0	151451
Bibersteinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaesserella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19221	0	0	0	0	0	0	0	0	0	0	0	0	1086	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	46395	53481	10197	9370	1670	71594	201929	10343	8826	11563	0	93045	46664	15383	4322	12041	311491	36879	11278	12174	18490	8920	2882	6169	24230	7022	0	4696	0	11262	2952	6839	5236	38768	4303	5182	8393	3169	6497	70291	17143	2818	0	11050	5585	1366	5405	2664	1430	524	10784	13734	18333	7703	7100	59093	3843	163140	16671	11764	1	137569	27940	78703	3366	95773	3759	65994	2651	25142	0	49276	8307	17167	45367	9473	283381	4121	4593	4477	2514	13176	30747	5885	4540	1224785	855954	693951	391206	2087671	396577	1239469	1161363	35782	337785	176002	1320099	226223	191402	582877	221923	1105832	209881	513015	425002	400662	10815454	1351277	2741644	399389	358590	214765	105186	1034108	159694	416805	64202	1758019	1881871	2138309	915168	9536048	169084	310316	152915	3114726	3319679	1930890	615588	2600973	6698925	1398339	649684	1630516	3967011	4933102	0	11631
Histophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3494	0	0
Mannheimia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4893	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	51013	0	0	0	0	0	0	0	0	0	0	0	0	2411	1552	0	243	0	0	0	0	0	673	0	0	3285	1438	0	0	2324	0	0
Necropsobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2358	0	0	0	0	0	0	0
Pasteurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11474	0	0	0	0	0	0	0	0	0	0	0	1361	0	704	0	0	0	0	4990	0	0	0	0	0	0	0	0	0	0	0	0
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2410	0	0	0	0	0	0	0	0	0	0	0	0	1509	0	0	0
Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37775	0	0	0	0	0	0	0	0	0	0	0	0	0
Azotobacter	0	0	0	0	0	0	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscirickettsia	0	0	0	1634	2398	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1875	0	0	0	2747	0	0	0	1459	0	0	0	0	0	1109	0	0	0	0	0	0	0	1799	952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema	121138	126918	143707	174101	5417	42637	2298	69127	284402	47624	11942	30645	18303	166832	21109	87148	16844	14320	259937	43546	226292	216689	98784	19260	55395	4485	11014	62874	20187	20683	217252	41848	203069	124051	579566	330938	84846	315815	146916	94737	220902	421399	78711	183580	101621	661997	77352	50971	41276	581629	182180	195136	69468	132018	36759	70394	200711	2985	58897	4680	0	34394	147287	59972	85865	248982	95213	267270	32374	142251	0	321943	411864	47115	112133	125653	104921	114726	12915	12768	18069	62203	115366	115689	0	44731	51960	238635	112174	221136	136542	7745	97969	40919	27381	28450	80782	19248	72805	39623	200391	241924	64837	141955	306221	144230	74272	103512	261486	53724	171328	674556	766922	223643	194396	23770	1709465	0	0	0	8493	0	4710	13685	7924	2651	971	985	15455	0	0	3345	92779	0	0	1675	0	135331
Aminobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jonquetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10847	0	0	0	0	8855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermanaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum	0	0	10683	0	0	0	224226	31526	149350	0	351625	0	446143	441060	960	0	16816	187859	1983	15696	3920	108285	527223	269446	61171	478491	2018	1380	279400	7611	2687	0	70960	8913	23691	43399	174930	25966	111288	0	0	0	279201	0	13542	0	63055	4403	2277138	0	42427	0	0	0	49674	0	0	0	148287	0	1	117443	392531	0	1409	0	1911	0	419846	0	4857	0	0	96962	152684	3968	0	16344	21613	21607	304845	0	71371	702002	0	0	0	0	0	5435	0	0	1594	0	0	0	0	0	0	0	0	0	0	1380	1082	1029	0	0	0	0	0	0	0	0	0	0	9893	0	8241	0	1523	0	111	0	447	0	0	1273	4526	2541	3074	0	15113	0	0	0	0	0
Actinomyces	1096319	1238918	2252960	2919174	3263405	1088682	4021574	1357114	1908320	1025819	3296764	607904	1813515	1807355	1532471	1782179	1998198	2402582	1342015	2684778	1408681	1082651	1911203	1224474	2590295	3652496	2604151	2560659	3959352	783328	3149589	1192235	2318946	1153517	1899281	1757992	2235620	1186985	2273901	1987230	2871440	1053416	3184003	1157319	2402566	2333213	3599162	1666510	3407219	524355	2658641	826304	1152150	640495	2539175	1017098	3279390	985937	6642588	373727	338	1073723	1664193	1443089	2966435	1192931	4490276	473272	2612129	1089709	2324389	1070591	449940	1686307	1969276	1153598	1064907	2579534	3954008	4061165	1246935	1143587	1933571	1666902	965413	43961	115630	32936	178115	1701962	155588	1479731	60744	11812	8749	7296	163641	8264	105296	24142	33705	1652640	63980	444237	301890	129435	643391	1029627	433193	3922114	369148	8607031	12341391	11203177	2443593	1992848	20202792	33161	46069	15521	17091	406130	18850	45129	189418	84686	25721	45740	51258	53135	263741	53688	1010148	111297	1342721	17583	0	1944570
Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia	45942	60998	42595	108853	64274	122943	41968	4316	14813	4393	18969	452142	56191	9505	16892	34206	11541	5999	36271	27154	11564	7930	15917	8303	18786	9810	0	20352	8141	8643	78758	20297	16915	42394	296837	19554	11484	86895	20728	78436	132267	23193	3115	66695	123114	95467	8607	21950	25111	41501	13526	60376	19758	12605	11160	48280	34347	33574	3783	9391	0	26031	15143	95945	20332	415151	76650	182880	5539	40830	0	89267	402973	23916	7184	7292	232728	56689	67510	64795	4353	6804	17187	0	5983	12744	46885	27041	40334	171551	21687	288742	10750	2567	2022	1145	17712	917	5682	2137	5966	263832	20699	54158	54008	18300	123683	105962	93129	246165	684480	108347	319658	2345667	2562965	995597	6337	9003	2659	926	2937	73050	2263	3609	23243	11215	0	11258	10335	0	39636	8823	31123	7890	30893	2576	0	44305
Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4487	0	18976	26787	1996	30061	0	366	355	512	5982	0	13983	2390	0	106285	3294	22242	6377	4323	58494	26580	5459	0	0	0	0	0	0	0	0	3378	0	0	1352	0	752	7049	5249	0	0	0	619	0	0	0	1144	0	0	0	0	0
Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	21769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270	799	0	0	0	0	0	0	0	0	0	0	0	0	0
Parascardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	77723	104144	2181324	310434	894242	1825348	2184081	1200852	780188	2055430	2177286	64906	1965253	1703497	1799083	2585714	644156	3096247	1278215	2523379	461740	345394	720320	974471	1719961	3286177	142795	1055085	1795215	412475	1344722	856818	1125806	1421584	551076	777463	1958735	1238584	1368610	972661	32686	743390	3241036	474696	1317961	273072	1399925	4477381	1435389	156288	1942204	1190668	13676	758097	3006303	2105932	80463	623864	2247306	6934	0	3705520	909651	638710	3058775	76918	1129397	287025	4132278	1377870	317776	799434	39092	2836109	1936019	506110	1206903	786414	4335181	4198391	1063505	1169195	1653200	2419769	2628661	32067	41100	37238	47563	189902	22360	97658	43525	14905	2558	13109	29646	12000	6900	11724	12595	109937	33573	110303	139410	45643	147085	109697	79687	1623617	18598	651486	7752594	1068075	1749361	274483	793075	8142	11141	1084	2084	3271	3397	10576	9842	2241	1243	4175	9820	0	13103	3657	172380	5624	3267	3732	0	180284
Mycobacterium	795	1058	6653	15343	22452	15296	4546	6182	5281	1351	1804	0	1620	4084	6182	1039	3062	1916	7597	1684	7183	1320	3150	7275	3682	2165	1247	1638	2091	497	2294	1004	1548	5129	3347	2866	2155	2796	1807	0	1099	7200	7644	7549	3482	4221	8713	6191	3998	17459	3093	7041	0	27361	6403	8865	0	15827	0	793	0	3180	3244	12171	4270	3984	1578	7070	4607	6648	0	19126	9406	1293	3801	3195	8421	1227	1404	0	8334	6066	8998	0	0	2092	2609	1893	1528	0	1911	0	0	757	365	349	0	327	0	590	1516	0	1071	979	2077	1811	5538	6041	4339	0	0	7052	0	0	0	0	0	0	0	5787	2423	0	2339	1350	1911	0	3733	5762	1667	6642	0	0	1091	0	1808	0	0	0
Cellulomonas	785	890	0	2338	1663	870	1355	1656	1806	4815	22806	7050	1456	4677	0	3322	8467	4917	0	3020	1949	0	1450	0	18196	0	0	2607	1419	2131	0	1727	0	0	2112	5370	7859	1554	14876	0	3536	898	0	0	2552	2554	0	0	4741	0	0	1624	1352	0	6508	0	1975	0	10721	0	1	0	1796	1443	0	5836	25505	2341	4877	875	0	0	0	0	0	1098	2372	12549	9409	9410	0	0	0	0	0	0	1855	0	0	0	0	12221	0	0	0	0	0	0	0	0	0	6637	0	1490	0	0	0	0	0	0	0	0	0	31322	28283	12107	9072	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0
Kytococcus	1080	1333	1174	5725	6417	1056	2082	1294	2340	4235	20246	9440	1218	4857	0	6604	8093	4912	1129	12475	2373	0	3578	0	18196	1600	0	2605	1580	2664	1626	2788	1164	0	3091	5409	7638	1803	15440	0	6024	1653	1887	0	3440	3926	1341	1045	5319	0	1219	939	2502	0	6396	1090	3715	0	5263	0	0	0	3876	1861	1251	7499	24843	2516	3951	895	0	0	1340	1524	0	1265	2835	13014	45702	45119	0	0	0	0	0	0	3964	0	1610	10470	2039	29983	0	0	225	0	2848	0	791	0	0	19004	912	3679	2691	1862	5942	8319	5485	0	5941	0	0	29353	42517	30421	20219	0	0	0	0	0	168	0	1579	0	0	0	0	0	0	0	3559	1854	7374	0	0	1256
Serinicoccus	0	0	0	0	0	0	0	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetrasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509	1478	0	0	0	0	0	0	0	0	0	0	0	0	715	0	2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenarthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	285	1626	0	0	0	0	6311	1364	1347	6101	2981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	391737	410156	90392	7876	224894	141886	98687	87264	118738	39338	452137	1777184	193433	148862	407493	50881	388267	223065	45495	44677	1092	0	30175	23361	41140	270679	25681	69588	41214	48131	104124	4430	4885	53918	3398	503936	159076	11665	35854	12320	2677	8633	31193	18225	29923	5091	247448	195721	170465	36205	99484	2018	0	43095	31228	119492	4369	544937	24156	232916	26	65892	13810	393835	84173	44409	83979	54926	255503	187559	317246	49465	1473	55756	117969	11660	129068	55905	121474	117507	911	200121	40715	28650	51960	401755	485608	155185	132478	5687475	325653	1515282	674366	56304	65308	89909	432054	80278	113047	96931	117840	1306752	192827	976875	866578	300054	4191457	1937628	1925904	3833825	921726	1330101	1348541	6183846	1823718	884056	204349	201826	39809	57997	63687	2360742	26295	52628	153796	133132	133446	745820	42933	45741	1501734	21300	452486	355258	734163	104173	0	118273
