#Datasets	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped
"Prevotella marshii"	0.0	2929.0	1831.0	4513.0	0.0	1835.0	0.0	1602.0	571.0	435.0	636.0	2442.0	678.0	1318.0	1946.0	7207.0	0.0	812.0	2516.0	13902.0	4259.0	0.0	11908.0	4317.0	0.0	0.0	0.0	882.0	0.0	0.0	1936.0	0.0	0.0	0.0	0.0	1420.0	0.0	0.0	0.0	2458.0	0.0	0.0	0.0
"Prevotella melaninogenica"	229001.0	747811.0	106089.0	624317.0	3853503.0	235128.0	1190977.0	131067.0	89185.0	83044.0	21138.0	1715304.0	58992.0	434299.0	177095.0	1153876.0	1693287.0	90090.0	258435.0	428423.0	493114.0	2143925.0	1059260.0	3128381.0	166013.0	3868.0	6988.0	27844.0	2509.0	25372.0	905570.0	35375.0	26318.0	2050.0	58338.0	152627.0	10115.0	19710.0	15656.0	36131.0	25781.0	14985.0	7977.0
"Prevotella micans"	0.0	2775.0	0.0	6570.0	0.0	1617.0	0.0	1806.0	364.0	1129.0	815.0	5045.0	1137.0	1091.0	4604.0	6025.0	12044.0	4125.0	2739.0	20365.0	6693.0	0.0	8462.0	5805.0	0.0	0.0	0.0	1566.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	1716.0	0.0	0.0	0.0	6898.0	0.0	0.0	0.0
"Prevotella multiformis"	1783.0	14015.0	47843.0	14334.0	33226.0	4646.0	16338.0	4593.0	22566.0	1054.0	1941.0	12505.0	2036.0	20898.0	1219.0	13490.0	68602.0	1268.0	31145.0	36553.0	24807.0	10349.0	116343.0	36414.0	0.0	0.0	0.0	0.0	0.0	224.0	8710.0	590.0	0.0	0.0	0.0	920.0	1945.0	0.0	0.0	1262.0	0.0	0.0	0.0
"Prevotella multisaccharivorax"	0.0	0.0	0.0	1045.0	6214.0	3241.0	4019.0	0.0	1575.0	0.0	0.0	0.0	0.0	2362.0	0.0	11140.0	0.0	942.0	1048.0	1072.0	4992.0	5225.0	22914.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella nanceiensis"	17200.0	134145.0	21584.0	51558.0	74068.0	9209.0	92086.0	66194.0	1954.0	447.0	2002.0	12668.0	5307.0	1483.0	9844.0	25431.0	73906.0	2359.0	1598.0	7341.0	10474.0	430196.0	62695.0	105255.0	134232.0	2943.0	13633.0	76787.0	16509.0	16549.0	122986.0	7212.0	28548.0	6981.0	23811.0	83435.0	39465.0	4715.0	45154.0	21805.0	8126.0	11781.0	5341.0
"Prevotella nigrescens"	4299.0	32249.0	53172.0	60199.0	65499.0	16004.0	26626.0	37350.0	16090.0	4133.0	14419.0	31858.0	10846.0	23944.0	21864.0	56198.0	136206.0	17421.0	42447.0	101114.0	132252.0	42766.0	112983.0	52587.0	6493.0	1604.0	4046.0	11367.0	0.0	3307.0	25121.0	5194.0	3995.0	0.0	2504.0	40313.0	2853.0	0.0	0.0	2692.0	2799.0	9972.0	0.0
"Prevotella oralis"	0.0	0.0	0.0	1174.0	0.0	1216.0	0.0	0.0	539.0	424.0	231.0	0.0	0.0	0.0	630.0	0.0	0.0	712.0	0.0	4779.0	2581.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	2150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella oris"	2279.0	10792.0	7759.0	14408.0	35018.0	5652.0	23864.0	6447.0	6834.0	2094.0	4016.0	15138.0	1973.0	16188.0	1985.0	19112.0	30477.0	1950.0	13605.0	23682.0	18429.0	18321.0	103216.0	18697.0	3304.0	0.0	1803.0	4176.0	0.0	1871.0	15854.0	9336.0	1962.0	0.0	1540.0	12882.0	2143.0	0.0	0.0	1760.0	8885.0	5788.0	0.0
"Prevotella oulorum"	1707.0	11296.0	2172.0	24024.0	130180.0	6178.0	41709.0	3717.0	4336.0	4484.0	830.0	61799.0	2397.0	13968.0	3242.0	23468.0	9213.0	2021.0	13652.0	42439.0	31967.0	14929.0	45847.0	13616.0	0.0	0.0	2466.0	1245.0	0.0	978.0	8492.0	3030.0	0.0	0.0	1067.0	2643.0	0.0	0.0	0.0	25268.0	2953.0	5402.0	0.0
