NCBItaxID	Species
34105	Streptobacillus moniliformis
1712031	Streptobacillus notomytis
330214	Nitrospira defluvii
1868589	Phreatobacter cathodiphilus
78587	Asticcacaulis excentricus
293	Brevundimonas diminuta
41276	Brevundimonas vesicularis
391600	Brevundimonas sp. BAL3
1827469	Brevundimonas sp. GW460-12-10-14-LB2
69666	Caulobacter mirabilis
88688	Caulobacter segnis
155892	Caulobacter vibrioides
357400	Caulobacter sp. D5
69665	Caulobacter sp. FWC26
366602	Caulobacter sp. K31
284016	Phenylobacterium zucineum
198252	Candidatus Pelagibacter ubique
217511	Fulvimarina pelagi
151414	Afipia birgiae
56946	Afipia broomeae
1034	Afipia clevelandensis
1035	Afipia felis
1882747	Afipia sp. GAS231
2015316	Bosea sp. AS-1
1842539	Bosea sp. RAC05
1510531	Bosea sp. UNC402CLCol
1355477	Bradyrhizobium diazoefficiens
29448	Bradyrhizobium elkanii
1437360	Bradyrhizobium erythrophlei
1419263	Bradyrhizobium forestalis
1274631	Bradyrhizobium icense
375	Bradyrhizobium japonicum
280332	Bradyrhizobium jicamae
722472	Bradyrhizobium lablabi
1755647	Bradyrhizobium macuxiense
989370	Bradyrhizobium manausense
931866	Bradyrhizobium ottawaense
280333	Bradyrhizobium pachyrhizi
1518501	Bradyrhizobium valentinum
108015	Bradyrhizobium yuanmingense
196490	Bradyrhizobium sp. Ai1a-2
288000	Bradyrhizobium sp. BTAi1
1126627	Bradyrhizobium sp. DOA9
1855318	Bradyrhizobium sp. Gha
1855319	Bradyrhizobium sp. Ghvi
1736363	Bradyrhizobium sp. Leaf396
1615890	Bradyrhizobium sp. LTSP849
1619232	Bradyrhizobium sp. LTSP885
1619233	Bradyrhizobium sp. LTSPM299
566679	Bradyrhizobium sp. ORS 375
1855320	Bradyrhizobium sp. R5
2057741	Bradyrhizobium sp. SK17
551947	Bradyrhizobium sp. STM 3843
1167456	Bradyrhizobium sp. SUTN9-2
172088	Bradyrhizobium sp. th.b2
1298867	Bradyrhizobium sp. URHA0002
1380355	Bradyrhizobium sp. URHD0069
1040988	Bradyrhizobium sp. WSM4349
319017	Bradyrhizobium sp. WSM471
912	Nitrobacter hamburgensis
29421	Nitrobacter vulgaris
40137	Oligotropha carboxidovorans
99655	Rhodopseudomonas faecalis
1076	Rhodopseudomonas palustris
1513892	Rhodopseudomonas pseudopalustris
95607	Rhodopseudomonas sp. B29
1855306	Tardiphaga sp. OK245
709797	Bradyrhizobiaceae bacterium SG-6C
94625	Brucella intermedia
529	Ochrobactrum anthropi
571256	Ochrobactrum pituitosum
419475	Ochrobactrum pseudogrignonense
440168	Pelagibacterium luteolum
29408	Rhodoplanes elegans
444923	Rhodoplanes piscinae
29409	Rhodoplanes roseus
31998	Methylobacterium radiotolerans
408	Methylorubrum extorquens
655015	Methylocystis bryophila
381	Mesorhizobium loti
69974	Mesorhizobium plurifarium
1529006	Mesorhizobium sp. 1M-11
408180	Mesorhizobium sp. ORS 3324
1040987	Mesorhizobium sp. WSM3626
28101	Phyllobacterium myrsinacearum
1585697	Agrobacterium arsenijevicii
1183412	Agrobacterium deltaense
160699	Agrobacterium larrymoorei
359	Agrobacterium rhizogenes
1176649	Agrobacterium fabrum
1183419	Agrobacterium genomosp. 13
1183418	Agrobacterium genomosp. 5
358	Agrobacterium tumefaciens
384	Rhizobium leguminosarum
1246459	Rhizobium sp. 2MFCol3.1
1571470	Rhizobium sp. ACO-34A
1736473	Rhizobium sp. Root149
1736507	Rhizobium sp. Root274
1339236	Ensifer sp. ZNC0028
382	Sinorhizobium meliloti
1909294	Rhizobiales bacterium
281091	Azorhizobium doebereinerae
280	Xanthobacter autotrophicus
589035	Gemmobacter caeni
197461	Nesiotobacter exalbescens
147645	Paracoccus yeei
1192054	Paracoccus sp. 228
321267	Shimia marina
104102	Acetobacter tropicalis
1969806	Acidibrevibacterium fodinaquatile
62140	Acidiphilium multivorum
442	Gluconobacter oxydans
1054213	Acetobacteraceae bacterium AT-5844
192	Azospirillum brasilense
95605	Azospirillum sp. B4
28077	Nitrospirillum amazonense
1380357	Rhodospirillales bacterium URHD0017
948	Anaplasma phagocytophilum
784	Orientia tsutsugamushi
196588	Erythrobacter cryptus
1248917	Porphyrobacter sp. AAP82
645617	Hephaestia caeni
13690	Sphingobium yanoikuyae
59803	Sphingomonas echinoides
93064	Sphingomonas koreensis
1736212	Sphingomonas sp. Leaf29
1736228	Sphingomonas sp. Leaf62
1390395	Sphingomonas sp. LK11
453247	Sphingomonas sp. TDK1
651663	Sphingopyxis bauzanensis
1921510	Tardibacter chloracetimidivorans
32002	Achromobacter denitrificans
217204	Achromobacter insolitus
1287735	Achromobacter insuavis
470868	Achromobacter marplatensis
72556	Achromobacter piechaudii
1389932	Achromobacter pulmonis
217203	Achromobacter spanius
85698	Achromobacter xylosoxidans
1806481	Achromobacter sp. 2789STDY5608625
1758194	Achromobacter sp. AONIH1
1806484	Achromobacter sp. ATCC31444
1688405	Achromobacter sp. DMS1
1881016	Achromobacter sp. MFA1 R4
1827284	Achromobacter sp. MYb9
1564112	Achromobacter sp. NFACC18-2
1736480	Achromobacter sp. Root170
1736564	Achromobacter sp. Root565
1736602	Achromobacter sp. Root83
1532557	Achromobacter sp. RTa
511	Alcaligenes faecalis
364039	Azohydromonas australica
94624	Bordetella petrii
645616	Eoetvoesia caeni
488447	Burkholderia contaminans
