SampleID	Classified	Unclassified
CMC028.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1849076	2401017
CMC028.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1666830	2187838
CMC028.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1666830	2187838
CMC028.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1666830	2187838
CMC029.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	946645	1316728
CMC029.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	946645	1316728
CMC029.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	946645	1316728
CMC029.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1926372	1846407
CMC029.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1926372	1846407
CMC029.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1926372	1846407
CMC030.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1513030	1811901
CMC030.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1513030	1811901
CMC030.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1513030	1811901
CMC030.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1727264	2200826
CMC030.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1727264	2200826
CMC030.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1727264	2200826
CMC031.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1702647	1488670
CMC031.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1702647	1488670
CMC031.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1702647	1488670
CMC031.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2369676	1854069
CMC031.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2369676	1854069
CMC031.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2369676	1854069
CMC032.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1639139	1594908
CMC032.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1639139	1594908
CMC032.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1639139	1594908
CMC032.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	54	54
CMC032.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	54	54
CMC032.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	54	54
CMC033.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2287731	2177848
CMC033.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2287731	2177848
