LIB050.A0101	26488	174369	18
LIB050.A0102	30906	145431	13
LIB050.A0103	83971	407982	93
LIB050.A0105	8	95	0
LIB050.A0106	53017	302144	41
LIB050.A0107	108324	436733	64
SRR061192	5342454	16570389	8515
SRR061294	2292798	8083089	2417
SRR061320	4538300	18981234	13285
SRR061365	6946993	19934935	29388
SRR061562	6395074	26522531	45949
SRR062083	6490153	27277748	11544
SRR062298	2059460	11911810	1223
SRR062299	952531	5740053	572
SRR063517	5751701	20167592	49284
SRR1646026	2928	211407	16
SRR1646027	3589	277427	34
SRR1646028	79776	6128666	163
SRR1646029	1856	220953	10
SRR1646030	28464	1203176	62
SRR1646031	252037	3660409	1222
SRR1646032	5588	154835	8
SRR1646033	44827	1134749	101
SRR1646034	163	15163	1
SRR1646035	1500	60220	1
SRR1646036	159	2282	0
SRR1646037	6913	269332	14
SRR1646038	104910	1731884	435
SRR1646039	40008	775139	400
SRR1646040	110642	3046518	468
SRR1646041	365	13872	1
SRR1646042	73764	1283556	130
SRR1646043	24147	697764	114
SRR1646044	49690	748374	234
SRR1646045	11098	135626	60
SRR1646046	81780	1309149	1073
SRR1646047	18098	519421	66
SRR1804664	6346257	21195555	7817
SRR1804823	5367479	13911332	26535
SRR512767	18343977	48164059	60403
SRR513165	3035764	11307558	6215
SRR513768	6941528	20911608	10596
SRR513775	6715371	17412195	15766
SRR513828	8954196	37436476	13367
SRR514202	2666169	9079064	5886
SRR514239	3067152	13568479	6275
SRR514306	11811442	26100414	12883
SRR514329	5382982	22746150	24647
SRS011247	4092587	13722948	599
SRS011310	3770938	12054337	424
SRS013252	14499077	46946457	35219
SRS013506	2588059	9994867	1280
SRS013942	1357784	3163698	1862
SRS013945	7306639	17726106	21266
SRS013949	12869028	38007107	69007
SRS013950	3576982	17180891	2192
SRS014107	1049249	6044205	1271
SRS014468	362370	1154842	270
SRS014477	1316585	5534313	2218
SRS014578	7856085	30710523	23011
SRS014691	4377647	17465418	2231
SRS014692	2346187	7895558	2027
SRS015055	1243978	3515489	1627
SRS015063	10021284	31350900	42843
SRS015064	4855663	13755136	19212
SRS015436	3964659	10618422	2276
SRS015799	2918949	7500320	8039
SRS016331	7515799	27123353	8284
SRS017445	16057732	61086788	23636
SRS017814	3383886	18736076	8734
SRS018359	2769999	6762615	875
SRS018665	10952320	43367814	78255
SRS019029	3635531	19414387	1698
SRS019120	1427417	3685644	1711
SRS019124	4276405	12381322	1564
SRS019129	2476961	11468336	6436
SRS019587	4947151	10143073	1553
SRS024281	8714091	19728478	753
SRS043239	2279016	8501444	2971
SRS047100	8295210	28738768	72635
SRS051930	9340887	28723156	13118
SRS052874	3764900	10469040	2599
SRS056892	5002820	10831040	2638
SRS058105	5424175	9397462	1492
SRS063215	3986573	13378783	3255
VLC001.A0101	7986311	26316838	14752
VLC002.A0101	2064752	13623849	4856
VLC003.A0101	4655015	21341450	13619
VLC004.A0101	6603950	36550318	22674
VLC005.A0101	7159071	36809479	21718
VLC008.A0101	9475716	26177515	4617
VLC009.A0101	8014300	25479913	58313
VLC010.A0101	3369064	15671010	7794
